product_id,quantity,price
322,85,143.02
802,88,848.96
537,4,766.14
137,80,262.52
161,6,500.48
379,95,455.0
911,51,655.08
459,64,790.84
777,87,102.92
931,26,38.06
491,8,837.41
845,89,438.44
300,17,764.66
952,24,12.08
227,1,450.93
51,30,724.32
520,53,236.47
911,50,945.82
811,6,902.41
635,69,40.28
682,54,35.19
783,36,546.0
714,40,939.76
950,73,387.39
136,56,224.43
448,64,427.9
539,34,38.75
255,22,229.47
817,21,443.51
913,95,500.85
74,40,240.75
887,15,238.56
961,60,226.59
929,90,465.01
75,13,296.88
937,80,31.27
921,26,839.2
632,9,560.89
839,64,645.87
241,57,194.05
48,35,992.62
226,97,861.35
497,95,129.68
568,33,339.37
254,62,724.27
774,4,714.08
581,66,937.08
839,65,427.89
877,81,831.74
4,66,673.6
929,11,310.33
537,83,591.7
313,65,883.65
23,67,847.74
572,63,510.23
398,5,593.11
885,52,44.18
894,25,250.31
224,87,799.43
601,14,420.17
538,79,181.28
886,62,553.31
804,2,706.01
31,91,677.74
450,11,380.96
544,59,444.57
87,40,513.34
681,75,780.66
706,30,525.73
836,31,399.32
103,81,494.8
139,30,39.28
737,24,53.05
528,26,706.35
2,26,983.36
598,74,597.25
963,47,399.66
278,21,178.65
976,23,507.22
11,78,982.26
420,49,772.82
352,14,544.22
520,90,861.69
576,11,239.85
750,62,518.63
265,6,952.94
728,7,582.02
906,64,464.54
704,85,276.59
112,89,552.52
869,15,957.55
276,27,15.65
806,67,785.82
757,35,822.28
62,65,887.32
167,13,743.1
575,89,811.05
358,50,523.49
602,31,565.74
164,86,431.83
807,100,65.56
341,85,871.31
233,69,574.3
599,13,207.84
649,80,509.67
683,58,490.08
612,33,363.22
565,59,352.62
961,36,543.09
206,91,627.25
747,100,616.33
13,1,463.57
81,98,37.7
424,12,237.31
661,98,185.44
592,64,588.62
759,56,862.4
220,59,800.45
867,30,799.13
275,80,818.27
427,20,262.74
13,64,843.33
992,70,676.38
577,24,92.4
460,23,26.52
16,32,24.41
130,60,758.03
677,47,257.06
391,57,118.39
661,44,628.55
527,28,350.98
52,77,78.82
636,11,168.03
756,52,532.11
234,38,176.46
514,78,280.19
345,80,714.47
984,56,460.15
203,90,328.78
413,17,479.03
590,5,33.4
392,19,392.69
342,36,426.71
668,21,196.16
22,33,117.67
716,11,900.82
623,72,515.01
216,86,217.0
620,44,609.59
774,64,818.87
117,75,30.61
681,36,27.69
989,61,155.0
644,27,721.65
257,80,168.63
849,37,707.56
375,17,681.39
320,46,549.26
227,85,228.39
671,95,975.84
142,86,799.83
369,22,521.43
585,17,230.96
975,5,652.02
204,83,400.95
877,93,580.09
321,70,328.03
355,32,634.64
1000,2,68.2
940,98,305.62
763,72,968.22
969,72,876.78
112,70,313.32
955,59,859.93
279,28,317.26
562,16,939.9
140,12,746.4
996,100,422.01
234,1,259.83
322,62,18.4
172,99,879.93
763,9,47.54
842,66,821.22
80,47,962.58
581,14,574.58
220,88,179.8
836,5,869.1
37,17,974.04
137,27,706.98
720,36,513.79
347,36,384.19
128,20,353.46
693,1,213.7
837,41,677.41
29,98,438.62
913,50,202.18
869,78,113.38
355,84,669.3
80,77,303.11
217,47,504.8
145,67,332.09
552,77,872.91
951,66,900.68
49,18,27.91
205,28,208.84
